g                  n_nodes              numVehicles                 capacity                   budget                      alg                    score                     cost                     size                  time(s)                   n_thre          factorViolation         subsetSizeFactor
b1.txt                      337                        6                       75                      100               greedyrand                      183                  531.364                      159                        0                        2                        0                       50
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                        1                        2                        0                       50
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        0                        2                        0                       50
b1.txt                      337                        6                       75                      100               greedyrand                      158                  561.182                      135                        0                        2                        0                       60
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                        6                        2                        0                       60
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        0                        2                        0                       60
b1.txt                      337                        6                       75                      100               greedyrand                      210                  487.108                      183                        0                        2                        0                       50
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                       12                        2                        0                       50
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        1                        2                        0                       50
b1.txt                      337                        6                       75                      100               greedyrand                      247                  552.467                      219                        0                        5                        0                       50
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                       12                        5                        0                       50
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        0                        5                        0                       50
b1.txt                      337                        6                       75                      100               greedyrand                      191                  531.874                      159                        0                       10                        0                       20
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                        5                       10                        0                       20
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        0                       10                        0                       20
b1.txt                      337                        6                       75                      100               greedyrand                      231                  558.542                      185                        0                        2                        0                       50
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                        0                        2                        0                       50
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        0                        2                        0                       50
b1.txt                      337                        6                       75                      100               greedyrand                      209                  499.918                      194                        0                        2                        0                      100
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                        6                        2                        0                      100
b1.txt                      337                        6                       75                      100                   greedy                      435                  589.238                      367                        0                        2                        0                      100
b2.txt                      385                        6                       75                      100               greedyrand                      285                  486.064                      234                        0                        2                        0                      100
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  591.994                      445                        6                        2                        0                      100
b2.txt                      385                        6                       75                      100                   greedy                      536                  583.712                      447                        0                        2                        0                      100
b2.txt                      385                        6                       75                      100               greedyrand                      220                  526.923                      210                        0                        2                        0                      100
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  591.994                      445                        0                        2                        0                      100
b2.txt                      385                        6                       75                      100                   greedy                      536                  583.712                      447                        0                        2                        0                      100
b2.txt                      385                        6                       75                      100               greedyrand                      238                   435.96                      239                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  591.994                      445                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100                   greedy                      536                  583.712                      447                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100               greedyrand                      217                  522.645                      200                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  587.486                      444                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100                   greedy                      536                  583.712                      447                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100               greedyrand                      260                  542.227                      230                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100              sqrB-approx                      529                  593.213                      443                        0                        2                        0                       50
b2.txt                      385                        6                       75                      100                   greedy                      536                  583.712                      447                        0                        2                        0                       50
b1.txt                      337                       14                      345                      720               greedyrand                     3243                   9944.1                     3223                       32                        2                        0                       20
b1.txt                      337                       14                      345                      720              sqrB-approx                     4015                  9953.66                     4112                       17                        2                        0                       20
b1.txt                      337                       14                      345                      720                   greedy                     3954                    10002                     4008                      288                        2                        0                       20
b1.txt                      337                        6                       75                      100               greedyrand                        0                        0                        0                        0                        2                        0                       20
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                        6                        2                        0                       20
b1.txt                      337                        6                       75                      100                   greedy                        0                        0                        0                        0                        2                        0                       20
b1.txt                      337                        6                       75                      100               greedyrand                        0                        0                        0                        0                        2                        0                       30
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                       12                        2                        0                       30
b1.txt                      337                        6                       75                      100                   greedy                        0                        0                        0                        0                        2                        0                       30
b1.txt                      337                        6                       75                      100               greedyrand                        0                        0                        0                        0                        5                        0                       30
b1.txt                      337                        6                       75                      100              sqrB-approx                      437                  586.457                      379                       44                        5                        0                       30
b1.txt                      337                        6                       75                      100                   greedy                        0                        0                        0                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100               greedyrand                        0                        0                        0                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  591.994                      445                       60                        5                        0                       30
b2.txt                      385                        6                       75                      100                   greedy                        0                        0                        0                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100               greedyrand                        0                        0                        0                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  591.994                      445                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100                   greedy                        0                        0                        0                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100               greedyrand                      237                   433.76                      222                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100              sqrB-approx                      536                  591.994                      445                        0                        5                        0                       30
b2.txt                      385                        6                       75                      100                   greedy                      536                  583.712                      447                        2                        5                        0                       30
